age,wc,education,marital status,race,gender,hours per week,IncomeClass
54,0,0,1,0,0,20,0
53,1,-1,0,1,1,35,0
18,0,0,0,1,1,40,0
65,0,0,2,1,1,40,0
41,0,0,2,0,1,38,0
25,0,1,0,1,0,42,0
33,0,1,2,4,1,40,0
28,0,3,0,1,0,55,1
41,0,2,1,1,0,50,1
38,1,4,1,1,0,70,1
23,0,0,0,1,0,40,0
40,0,2,1,1,0,40,1
38,0,1,2,1,0,40,0
56,0,0,1,1,0,35,0
58,0,0,1,1,0,45,1
32,0,0,0,1,1,34,0
45,0,0,1,1,0,40,0
41,0,3,1,1,1,40,1
42,0,2,1,0,1,40,0
19,1,1,0,1,0,40,0
58,0,1,0,1,0,20,0
20,0,0,0,1,1,40,0
36,0,2,2,1,1,40,0
45,0,0,1,1,0,60,0
59,0,1,1,1,0,40,0
64,0,0,1,1,0,40,1
33,0,2,0,1,1,45,0
33,0,0,1,1,1,40,1
61,0,0,1,1,0,40,1
27,1,4,0,1,0,35,0
30,0,0,2,1,1,40,0
43,0,0,1,0,0,40,0
44,0,1,1,1,0,40,1
35,0,1,0,1,1,40,0
25,0,1,0,1,1,40,0
24,0,1,1,1,1,48,1
22,0,2,0,1,1,15,0
42,1,1,1,1,0,40,1
60,0,2,2,1,1,42,0
21,0,0,0,1,0,40,0
57,2,4,1,1,0,40,1
41,0,3,1,1,0,60,1
50,0,1,2,1,0,45,0
25,0,2,0,1,1,40,0
36,0,2,1,1,0,45,0
31,0,0,2,1,1,40,0
29,1,2,0,1,0,56,0
21,0,1,0,1,0,45,0
27,0,2,0,0,1,40,0
65,0,0,1,1,0,16,0
24,0,0,0,1,0,40,0
38,0,0,2,1,0,80,0
48,0,2,1,1,0,40,1
21,0,1,0,2,1,25,0
31,0,0,1,1,0,45,1
55,0,0,1,1,0,40,1
24,0,1,1,2,1,40,0
43,0,0,2,1,1,40,0
26,0,2,0,1,0,40,0
34,0,4,1,2,0,35,1
22,0,1,0,1,0,15,0
24,0,1,0,1,0,40,0
29,0,1,0,1,1,40,0
62,0,0,3,1,1,24,0
43,0,1,1,1,0,50,0
35,0,0,2,1,0,45,0
43,0,1,1,1,1,50,1
66,0,0,0,1,0,55,0
41,0,1,0,0,0,45,0
26,0,2,0,1,0,40,0
53,0,0,1,1,0,40,0
30,0,0,0,1,0,40,0
49,0,4,0,1,0,60,0
19,0,0,0,0,0,30,0
45,0,0,1,0,0,40,0
33,0,0,0,1,0,20,0
31,0,2,0,1,0,25,0
33,0,2,1,1,0,40,1
26,0,0,1,1,0,40,0
33,0,2,1,1,0,40,1
38,2,0,1,1,0,40,1
42,0,0,1,1,1,35,0
62,0,4,1,1,0,40,1
43,0,2,1,1,0,45,0
43,0,2,2,1,0,45,1
22,0,0,1,1,0,55,0
28,0,0,1,1,0,40,0
57,0,2,2,1,1,45,1
39,0,0,2,1,1,40,0
26,2,1,0,1,1,15,0
45,0,0,1,0,0,40,0
44,0,0,0,0,0,40,0
20,1,1,0,1,1,10,0
33,0,0,1,1,1,40,0
23,0,1,0,1,0,40,0
38,0,0,1,1,0,50,0
54,0,0,2,1,0,40,0
25,0,1,1,1,0,40,0
46,0,1,2,1,1,40,0
36,1,1,1,1,1,40,0
23,0,0,0,1,1,25,0
44,0,1,1,1,1,6,1
19,0,1,0,1,1,16,0
19,0,0,0,1,1,40,0
35,0,0,1,1,1,40,1
27,0,2,0,1,0,50,0
34,0,0,0,1,1,35,0
44,0,1,1,1,0,40,0
45,0,1,2,1,1,40,0
25,0,2,1,1,0,55,1
20,0,1,0,1,0,40,0
28,0,1,0,1,1,40,0
41,0,4,1,1,0,65,1
28,0,0,1,1,0,40,0
32,0,1,1,1,0,50,0
41,1,1,2,0,1,24,0
24,0,0,0,0,1,40,0
33,0,1,2,1,1,40,0
46,0,5,1,1,0,60,1
20,0,1,1,1,0,30,0
29,0,0,2,1,0,40,0
25,0,0,1,1,0,60,0
36,2,4,0,1,0,40,0
23,0,0,0,1,0,72,0
47,1,4,1,1,0,40,0
27,0,1,0,2,0,40,0
33,0,4,1,1,0,50,1
34,1,0,0,0,0,60,0
34,1,1,0,1,1,40,0
23,0,1,1,1,0,40,0
42,1,1,1,1,1,40,0
29,0,2,0,1,0,40,0
45,0,0,2,1,1,28,0
24,2,0,0,1,0,40,0
44,0,1,1,1,0,40,1
20,0,1,0,1,0,35,0
44,0,0,3,0,1,40,0
51,0,0,1,3,0,40,0
20,0,0,1,1,0,40,0
19,0,0,0,0,1,40,0
60,0,0,1,1,0,40,1
30,0,0,1,1,1,40,0
38,0,1,1,0,0,50,0
23,0,0,1,1,0,60,0
54,1,0,1,0,0,40,0
32,0,2,1,1,0,50,0
24,0,2,0,1,1,20,0
37,0,0,1,1,1,60,0
52,0,0,2,1,0,40,0
38,0,1,1,1,0,40,0
49,0,4,1,1,0,45,1
30,0,2,1,1,1,16,1
60,0,1,0,1,0,40,1
35,0,0,0,1,0,40,0
30,0,0,0,1,0,60,0
46,0,2,0,1,1,40,0
22,0,1,0,1,0,30,0
23,0,0,0,1,1,35,0
41,0,0,1,1,1,40,0
25,0,1,1,0,1,20,0
59,1,0,1,1,0,45,0
45,1,2,2,1,1,40,0
38,0,2,1,1,0,60,1
40,0,0,0,1,1,35,0
46,2,0,2,1,0,40,0
34,0,0,2,1,1,25,0
33,0,2,0,1,0,20,0
41,0,0,2,1,1,36,0
20,0,1,0,1,0,40,0
26,0,1,0,1,1,35,0
23,1,0,0,1,0,40,0
62,1,0,1,1,0,40,0
52,0,1,1,1,0,40,0
58,0,1,2,1,1,42,0
25,0,2,0,1,1,40,0
24,0,2,0,0,0,40,0
19,0,1,0,1,0,8,0
43,0,1,1,1,0,40,0
39,0,0,2,1,1,40,0
34,0,1,1,1,0,50,1
28,0,0,2,1,0,45,0
25,0,1,0,3,1,20,0
34,0,2,1,1,0,50,1
50,0,0,1,1,0,50,1
24,1,1,2,0,0,50,0
37,1,1,1,1,0,45,1
44,0,1,2,1,0,58,1
28,0,1,1,1,1,40,0
42,0,2,1,1,0,40,1
74,0,1,2,1,1,9,0
26,0,0,0,1,0,40,0
36,0,0,1,0,0,40,0
67,0,3,1,1,0,48,1
44,0,1,1,1,0,40,0
29,0,5,0,1,0,40,0
30,0,1,0,1,1,40,0
27,0,0,0,1,0,40,0
27,0,1,1,1,0,50,0
32,0,0,0,1,1,45,0
35,1,1,1,1,0,40,0
21,0,0,0,1,0,36,0
28,0,1,0,1,0,40,0
35,0,0,1,0,1,40,0
35,0,0,1,1,0,40,0
34,0,0,1,1,1,32,0
28,0,2,0,1,0,55,0
54,0,2,1,1,0,35,1
47,0,1,1,1,0,50,1
24,0,0,0,0,1,40,0
20,0,0,0,3,0,48,0
47,0,4,2,1,0,42,0
24,0,0,0,1,0,40,0
51,0,0,1,1,0,40,0
27,0,5,0,1,1,70,0
29,0,2,1,1,0,40,1
58,1,2,0,1,1,40,0
57,0,0,1,1,0,40,1
59,0,0,1,1,0,40,0
27,0,0,1,1,0,40,0
21,0,1,0,1,1,24,0
29,0,1,0,1,0,60,0
31,0,2,1,1,0,40,1
23,0,2,0,1,1,40,0
27,0,0,0,1,0,40,0
25,0,1,0,1,0,40,0
49,0,2,0,1,1,45,0
32,0,2,0,1,0,40,0
19,0,1,0,1,0,28,0
48,0,0,0,0,1,37,0
51,0,4,1,1,0,40,1
29,0,0,0,3,0,40,0
52,0,4,2,1,1,60,0
24,0,0,0,1,0,40,0
24,0,0,1,1,0,50,0
26,1,2,0,1,0,40,0
27,0,2,0,1,1,20,0
39,0,0,0,1,0,60,0
30,0,0,1,0,0,45,0
46,0,3,1,1,0,45,1
23,0,2,0,1,1,20,0
30,0,0,0,0,0,60,0
34,0,0,1,1,0,45,1
33,0,1,1,1,0,40,1
49,0,2,1,1,0,26,1
43,0,1,1,1,0,60,1
30,0,2,1,0,1,40,1
19,0,0,0,1,1,14,0
21,0,2,0,1,0,40,0
33,0,2,1,1,0,60,1
26,0,0,2,1,0,55,0
60,0,0,1,1,0,40,0
21,0,1,0,1,0,40,0
36,0,1,1,1,0,50,1
31,0,1,1,1,0,45,0
31,1,0,2,1,1,40,0
71,0,0,1,1,0,15,0
20,0,1,0,1,0,20,0
24,0,0,0,1,0,50,0
35,0,5,1,2,0,40,1
27,0,0,0,1,1,32,0
34,0,0,1,1,0,45,0
43,0,0,1,1,0,40,1
35,0,4,0,1,0,60,0
27,0,1,0,1,0,40,0
43,1,4,0,1,0,38,0
20,0,1,0,1,1,25,0
42,0,0,1,0,0,40,1
48,2,1,2,1,0,40,0
33,0,2,1,1,0,40,1
22,0,0,0,1,1,40,0
32,0,1,1,1,0,40,0
31,0,0,0,1,0,45,0
29,1,0,0,1,0,48,0
34,0,0,2,1,1,40,0
45,1,2,1,1,1,55,0
41,0,4,0,1,0,35,0
26,0,0,0,1,0,30,0
54,1,1,1,1,0,40,0
24,0,1,0,0,1,45,0
42,0,1,1,1,0,50,0
20,0,1,0,1,0,20,0
35,0,4,0,1,0,60,1
31,0,4,1,1,0,40,1
30,0,2,0,1,1,40,0
19,0,0,0,1,1,20,0
36,1,2,0,1,0,50,0
31,0,2,3,1,1,40,0
21,0,1,0,1,0,30,0
46,0,5,2,1,1,65,1
44,0,2,2,1,1,50,1
45,0,1,0,0,0,40,0
60,0,0,1,1,0,35,0
28,0,2,1,1,0,40,0
36,0,1,2,0,1,40,0
36,1,2,2,1,1,35,0
33,0,0,1,1,0,40,0
22,0,1,0,1,1,15,0
34,0,2,1,1,0,45,1
33,0,0,0,1,0,40,0
41,0,0,1,1,0,60,0
29,0,2,0,1,0,40,0
50,1,0,1,1,0,42,1
42,0,2,1,1,0,45,1
43,0,2,0,1,0,40,1
44,0,0,1,1,1,40,0
20,0,1,0,1,1,20,0
31,0,0,1,1,0,40,0
23,0,1,0,1,1,24,0
55,0,1,2,2,1,40,0
35,0,1,1,1,0,40,0
36,0,1,0,0,1,36,0
56,0,0,3,0,1,20,0
42,0,2,1,1,0,40,1
19,0,1,0,1,1,25,0
42,0,4,0,1,1,50,1
42,1,2,1,1,1,40,1
55,0,0,1,1,0,40,1
32,0,1,0,0,1,40,0
22,0,2,0,1,0,20,0
23,0,0,0,1,0,50,0
39,0,0,0,1,0,40,0
54,0,0,1,1,0,40,1
33,1,2,0,1,1,45,0
46,2,0,1,1,1,40,1
37,0,0,0,0,0,40,0
36,0,0,0,1,1,18,0
59,1,0,1,1,1,38,1
34,1,0,2,1,0,40,0
51,0,2,0,1,0,55,1
22,0,1,1,1,1,30,0
32,0,0,0,1,0,40,0
26,0,1,0,1,1,38,0
31,0,0,2,1,0,55,0
55,0,0,0,1,0,38,0
36,0,1,2,1,1,40,0
34,0,4,1,1,0,40,0
43,0,2,1,1,0,50,1
54,0,1,0,1,0,40,0
40,0,2,0,4,1,55,1
42,0,1,2,0,1,38,0
23,0,0,0,1,1,40,0
60,0,0,1,1,0,60,1
22,0,1,0,0,0,20,0
61,0,0,1,1,0,40,0
25,0,0,0,0,0,40,0
46,0,4,0,1,0,35,1
43,0,2,1,1,0,40,1
24,0,0,0,0,0,30,0
31,0,0,2,1,1,38,0
32,0,0,1,1,0,48,1
33,0,2,1,1,0,47,1
64,0,2,1,1,0,40,1
20,0,0,0,1,0,30,0
43,0,1,2,1,0,45,0
22,0,1,0,1,0,40,0
56,0,1,1,1,0,50,1
64,0,0,1,1,0,45,0
47,0,0,1,1,0,50,1
31,0,4,0,1,1,46,0
30,0,0,3,1,1,40,0
32,0,0,1,1,0,60,0
57,0,0,3,1,0,42,1
62,0,0,3,1,1,40,0
43,0,1,0,1,0,25,0
53,0,1,1,1,1,40,1
26,0,1,0,1,0,40,0
55,0,0,1,1,0,40,0
25,0,0,2,1,0,40,0
41,0,2,2,1,1,50,1
24,0,2,0,1,0,50,0
63,0,0,3,1,0,6,0
35,0,1,1,1,0,50,0
51,0,1,1,1,0,40,1
62,1,2,3,1,1,48,0
55,0,0,1,1,0,40,1
43,0,1,2,1,0,40,0
40,1,0,2,1,1,50,0
37,0,2,1,1,0,45,1
39,0,2,1,1,0,40,0
31,0,0,0,1,0,18,0
61,0,4,3,1,1,40,1
26,0,2,0,1,1,40,0
34,0,0,0,1,0,40,0
34,1,0,0,1,1,40,0
59,0,0,1,1,0,40,1
34,0,2,0,1,1,40,0
49,0,2,0,1,1,56,1
43,0,0,1,1,0,40,0
33,0,0,1,1,0,40,0
24,0,1,0,1,1,15,0
39,0,1,1,1,0,50,1
44,0,2,1,1,0,40,1
24,0,1,0,1,0,50,0
41,0,2,1,1,0,60,1
23,0,0,0,0,1,7,0
39,0,0,1,1,0,40,1
19,0,0,0,1,1,30,0
32,0,2,1,1,0,40,1
27,0,0,1,1,0,70,0
38,0,2,1,1,0,50,1
33,0,1,1,1,1,60,0
23,0,2,0,1,0,28,0
37,0,2,1,1,0,50,1
40,0,4,1,1,0,40,0
47,0,1,2,1,0,55,0
22,0,2,0,1,1,50,0
30,0,2,1,1,0,45,1
28,0,0,1,1,0,40,0
22,0,0,0,1,1,40,0
35,0,0,0,1,0,45,0
46,0,0,2,1,1,38,0
37,0,1,2,1,0,52,0
24,0,2,0,0,0,15,0
53,0,1,1,1,0,40,0
27,0,0,0,1,0,30,0
38,0,1,2,1,0,44,0
34,0,1,0,1,0,40,0
23,0,0,0,0,0,40,0
39,0,2,1,1,0,45,1
43,0,4,1,2,1,50,0
21,0,1,0,1,0,20,0
23,0,1,0,1,0,25,0
25,0,1,0,1,0,40,0
38,0,1,1,0,1,40,0
32,0,0,1,1,0,40,0
37,0,0,1,1,0,40,0
51,0,4,1,1,0,60,1
22,0,1,0,1,1,42,0
42,0,0,2,1,0,55,0
51,1,-1,1,1,0,40,0
23,0,0,1,1,1,40,0
37,0,0,1,1,0,99,1
47,0,4,0,1,1,25,0
41,0,3,1,1,0,40,1
33,0,0,1,1,0,30,0
31,0,2,0,1,0,40,1
35,0,0,1,0,0,40,0
18,0,0,0,1,1,45,0
20,0,0,1,1,0,40,0
54,1,1,2,0,1,35,0
40,0,1,2,1,1,40,0
43,0,1,2,1,0,35,0
43,0,4,1,1,0,43,1
18,0,0,0,1,1,20,0
51,0,1,1,1,0,40,0
25,0,1,1,1,0,45,0
32,0,0,2,1,1,38,0
32,0,2,1,1,0,70,0
28,0,0,1,1,0,40,0
20,0,0,0,1,1,20,0
48,0,2,1,2,0,40,1
34,0,0,1,1,0,35,1
28,0,2,0,1,1,35,0
67,0,2,3,1,0,40,1
37,0,0,1,1,0,40,0
44,0,0,0,1,0,70,0
25,0,1,0,1,1,40,0
21,0,1,0,1,1,40,0
78,0,0,3,0,1,40,0
34,0,0,2,1,0,40,0
49,0,0,0,1,1,44,0
45,1,0,3,1,0,40,1
41,0,0,0,0,1,35,0
47,0,0,2,1,1,40,0
44,0,0,2,1,0,40,0
51,0,1,3,1,1,40,0
46,0,2,0,1,0,40,0
47,0,0,1,1,0,50,1
35,0,0,0,1,0,45,0
56,0,0,1,1,0,55,1
45,0,4,2,1,0,45,0
48,2,2,2,1,0,58,1
40,0,1,1,1,0,40,0
20,0,1,0,1,0,40,0
50,0,5,1,1,0,65,1
23,1,2,0,1,1,60,0
31,0,0,0,1,0,16,0
58,0,2,1,1,0,40,0
26,0,1,1,1,0,50,0
51,0,0,2,1,1,40,0
50,0,0,1,1,0,40,1
42,0,1,1,1,0,44,1
38,0,4,1,1,0,25,0
51,0,0,3,1,1,32,0
22,0,0,2,1,0,40,0
41,0,1,0,1,0,50,0
48,1,4,1,1,0,35,1
34,0,1,1,1,0,40,0
23,0,0,0,0,1,40,0
56,0,0,1,1,0,50,0
30,0,2,0,0,0,45,0
45,0,0,1,1,0,55,1
27,0,1,0,1,0,40,0
32,0,0,0,0,1,40,0
37,0,0,0,1,0,75,0
34,0,0,2,0,1,30,0
90,0,0,0,1,1,40,0
23,0,1,0,0,1,40,0
43,0,1,2,1,1,40,0
44,0,2,1,1,0,60,1
24,0,1,0,1,1,37,0
28,0,3,2,1,0,55,0
23,0,1,1,1,0,40,0
20,0,1,0,1,1,50,0
36,0,2,1,1,0,50,1
61,0,0,1,1,0,40,0
30,0,2,1,1,0,40,1
38,0,1,2,1,0,40,0
32,0,2,1,1,0,40,0
49,1,4,1,1,0,40,1
45,0,0,1,1,0,47,1
61,0,0,1,1,0,40,0
54,0,0,1,1,0,32,0
49,0,1,1,1,0,80,1
38,0,1,0,1,0,40,0
35,0,3,1,1,0,80,1
30,0,2,1,1,0,50,0
22,1,2,0,1,1,20,0
38,0,0,1,1,0,40,1
37,0,0,1,1,0,50,1
27,0,2,0,0,1,40,0
22,0,2,0,2,0,50,0
49,0,0,1,1,0,40,0
19,1,0,2,1,1,35,0
41,1,1,1,1,0,40,1
31,0,1,1,1,0,40,0
32,0,0,1,1,0,40,0
29,0,2,0,1,0,35,0
42,0,1,1,1,0,52,1
38,0,0,2,1,0,28,0
31,0,5,1,2,0,60,0
34,0,0,2,1,0,40,0
21,0,1,0,1,0,40,0
43,0,1,2,1,1,40,0
41,0,2,1,0,0,50,0
34,1,0,2,1,1,33,0
31,0,2,0,1,0,47,0
29,0,0,0,1,0,25,0
41,0,2,1,1,0,40,1
33,0,2,1,1,1,45,1
69,0,0,1,1,1,40,0
34,0,0,2,1,1,40,0
36,0,1,1,1,0,40,0
41,0,0,1,1,0,50,0
58,1,2,1,1,1,40,1
53,0,2,1,2,0,40,0
29,0,1,1,1,0,40,0
45,2,0,2,1,1,40,0
36,0,2,1,1,0,40,0
48,0,1,2,0,1,35,0
35,0,0,1,1,0,50,1
63,2,0,3,0,0,40,0
28,0,2,1,1,0,45,0
30,0,1,0,0,1,40,0
31,0,0,0,1,1,40,0
31,0,1,1,1,0,50,1
35,2,0,1,0,0,60,1
27,0,0,1,1,0,53,0
19,0,1,0,1,1,20,0
20,0,1,0,1,0,45,0
59,2,0,3,1,1,40,0
40,0,2,0,1,0,37,0
33,0,4,1,1,0,44,1
46,0,0,1,1,0,50,0
25,0,0,0,1,0,30,0
40,0,1,2,1,1,39,0
51,0,0,1,1,0,54,0
34,0,1,1,1,0,54,0
46,0,0,1,1,0,45,1
26,0,2,0,2,0,40,0
20,0,0,0,1,0,28,0
51,0,0,3,1,0,40,0
33,0,2,1,1,0,60,1
50,0,2,1,1,1,40,1
33,0,0,2,0,1,40,0
65,0,2,1,1,0,20,1
40,0,0,2,1,0,40,0
51,0,0,2,1,1,43,0
25,0,4,1,1,0,99,1
47,0,0,1,1,0,40,0
47,0,0,0,1,1,40,0
40,0,2,2,1,1,45,1
36,0,2,1,1,0,40,0
32,0,0,1,1,0,40,0
44,0,0,1,1,0,40,0
59,2,1,0,0,1,40,0
65,0,0,1,1,0,30,0
27,1,2,0,1,0,35,0
48,0,1,1,1,0,40,1
39,0,0,1,1,0,60,0
28,0,2,1,1,0,40,0
19,0,1,0,1,1,25,0
49,1,2,2,0,1,40,0
59,0,4,1,1,0,55,0
18,0,0,0,1,1,40,0
50,0,0,1,1,0,40,0
45,2,0,1,0,0,80,1
30,1,2,1,1,0,50,1
37,0,2,2,1,0,35,0
44,0,2,0,1,0,40,1
33,0,1,1,0,0,40,0
61,1,0,1,1,0,40,0
38,0,2,1,1,0,42,1
36,0,0,1,1,0,45,0
31,0,1,2,1,1,20,0
54,0,5,1,1,0,45,1
20,0,1,0,1,0,16,0
31,0,2,2,1,0,45,0
38,0,3,1,1,0,40,1
48,0,0,1,1,0,40,0
53,0,1,1,1,0,40,0
55,0,0,3,1,1,40,0
38,0,4,1,1,0,72,1
29,0,0,0,1,1,40,0
36,0,2,1,1,0,60,1
50,0,0,2,1,1,40,0
46,0,2,1,1,0,40,1
52,2,0,2,1,1,40,0
27,0,2,0,1,1,40,0
43,0,0,1,1,0,45,0
23,0,1,0,1,1,30,0
34,0,0,0,1,1,24,0
31,0,0,0,1,1,30,0
42,0,1,0,1,1,40,0
35,0,4,0,1,0,45,1
38,1,1,0,1,0,12,0
62,0,1,3,1,1,20,0
49,0,0,2,1,0,40,0
34,0,0,1,1,1,40,0
32,0,0,0,1,1,40,0
30,0,0,1,1,0,40,0
52,2,0,2,1,1,43,0
29,0,0,1,2,0,40,0
38,0,2,0,1,1,50,0
57,0,0,1,1,0,50,1
43,2,2,1,1,0,40,1
30,0,0,1,1,0,40,0
53,0,0,1,1,0,48,1
73,0,0,3,1,1,37,0
31,0,0,0,1,1,45,0
38,0,2,1,1,0,40,1
37,0,1,1,1,0,37,0
44,1,2,2,1,0,40,0
47,0,2,0,0,1,45,0
27,0,1,1,1,0,40,0
25,0,0,0,0,1,40,0
20,0,1,0,1,1,40,0
51,1,2,1,1,0,40,1
46,0,2,1,1,0,40,1
67,0,2,1,1,0,7,1
47,0,0,1,1,0,35,0
42,0,0,1,1,0,40,0
52,0,0,0,1,0,50,0
21,0,1,0,0,0,10,0
50,0,0,1,1,1,40,1
46,0,1,1,1,0,40,0
37,0,2,0,1,0,45,0
50,0,0,1,1,0,40,0
39,0,0,1,1,0,65,0
46,0,4,1,0,0,35,0
36,0,0,1,1,0,40,0
21,0,1,0,1,0,57,0
44,1,1,0,0,0,40,0
22,0,0,1,1,0,40,0
29,2,1,0,0,0,60,0
29,0,0,0,0,1,40,0
37,0,2,1,1,0,43,1
43,0,0,1,1,0,45,0
49,0,0,1,1,1,40,1
45,2,2,1,1,0,40,0
28,0,2,0,1,1,40,0
51,0,0,2,1,1,40,0
32,0,1,1,1,0,50,1
24,0,0,0,1,1,40,0
35,0,5,1,1,0,40,1
48,0,2,1,1,0,45,1
61,1,0,3,1,1,35,0
20,0,1,0,1,0,30,0
27,0,0,0,1,0,50,1
55,0,1,1,1,0,24,1
39,0,0,1,1,0,40,1
47,0,0,1,1,0,40,0
52,0,0,3,2,1,40,1
24,0,0,0,0,1,20,0
25,0,0,0,1,0,40,0
20,0,1,0,1,1,40,0
23,0,0,0,0,0,35,0
57,0,3,1,1,0,60,0
33,0,1,0,1,1,16,0
39,0,2,0,1,0,40,0
40,0,0,1,1,0,40,1
71,0,2,2,1,1,16,0
57,0,4,1,1,1,40,0
47,0,1,2,1,0,40,0
26,0,0,0,4,0,40,0
35,0,2,0,1,1,40,0
36,0,2,1,2,0,60,1
34,0,1,0,1,0,50,1
39,0,1,1,1,0,40,0
31,0,2,0,1,0,37,0
36,0,0,0,1,0,50,0
23,0,1,0,1,0,40,0
33,0,0,0,1,0,41,0
52,0,0,1,1,0,40,1
22,0,0,0,1,1,24,0
51,0,1,2,1,1,40,0
49,0,0,1,0,1,40,0
53,2,1,3,0,1,40,0
52,0,0,1,2,0,40,1
43,0,4,0,1,1,30,0
41,0,0,2,0,1,40,0
54,0,0,1,1,0,40,0
65,0,4,1,1,0,40,1
32,0,2,2,1,1,40,0
23,0,2,0,1,0,50,0
25,1,2,0,1,0,45,0
19,0,1,0,1,0,50,0
45,0,1,0,1,0,45,0
37,0,0,0,0,0,44,0
27,0,2,0,1,1,40,0
59,0,0,2,1,1,30,0
19,2,0,0,0,1,40,0
54,0,0,1,0,0,40,0
50,0,0,1,1,0,60,1
40,0,0,0,1,1,40,0
50,0,0,2,1,1,40,0
31,0,0,1,1,0,50,0
24,0,0,1,1,0,45,1
37,0,0,2,1,0,50,0
33,0,0,1,1,0,40,0
48,0,0,3,1,1,40,0
39,0,2,1,1,0,40,1
53,0,1,1,1,0,45,1
32,0,0,0,1,0,52,0
31,0,2,1,0,0,90,1
31,0,2,1,1,1,40,1
